Pressure(Pa),Temperature(K),H2S_mole_frac,CO2_mole_frac,H2S_uptake,CO2_uptake,H2S_Error,CO2_Error
0.1,200,0.02,0.98,0.0096264552,0.0400983080,0.0009531357,0.0087099199
0.1,200,0.2,0.8,0.1104583034,0.0326423868,0.0087378935,0.0094387884
0.1,200,0.4,0.6,0.2299809332,0.0243681327,0.0147297583,0.0085218448
0.1,200,0.6,0.4,0.3504872884,0.0178214702,0.0445591218,0.0042023100
0.1,200,0.8,0.2,0.4690261929,0.0089107351,0.0489084335,0.0041707132
0.1,200,0.98,0.02,0.5858084449,0.0007274069,0.0497424411,0.0009272656
0.1,300,0.02,0.98,0.0000000000,0.0003637035,0.0000000000,0.0006804269
0.1,300,0.2,0.8,0.0001405322,0.0003637035,0.0003442322,0.0006804269
0.1,300,0.4,0.6,0.0003513305,0.0003637035,0.0004444018,0.0006804269
0.1,300,0.6,0.4,0.0007026610,0.0000909259,0.0009937127,0.0003637035
0.1,300,0.8,0.2,0.0010539914,0.0000000000,0.0009937127,0.0000000000
0.1,300,0.98,0.02,0.0011945236,0.0000000000,0.0011416889,0.0000000000
0.1,400,0.02,0.98,0.0000000000,0.0000909259,0.0000000000,0.0003637035
0.1,400,0.2,0.8,0.0000000000,0.0000909259,0.0000000000,0.0003637035
0.1,400,0.4,0.6,0.0000000000,0.0000909259,0.0000000000,0.0003637035
0.1,400,0.6,0.4,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,400,0.8,0.2,0.0000702661,0.0000000000,0.0002810644,0.0000000000
0.1,400,0.98,0.02,0.0000702661,0.0000000000,0.0002810644,0.0000000000
10,200,0.02,0.98,1.0778819174,4.2178691865,0.0504508614,0.2958424286
10,200,0.2,0.8,8.3710811175,2.9450888797,0.5527864477,0.1450043833
10,200,0.4,0.6,13.3986203083,1.9734550492,0.5965247105,0.1209257990
10,200,0.6,0.4,16.7907863737,1.1701250013,0.5171281084,0.0678587255
10,200,0.8,0.2,19.2087130137,0.5766518578,0.5680759715,0.0444053494
10,200,0.98,0.02,20.9692300567,0.0523733002,0.5794821404,0.0074625714
10,300,0.02,0.98,0.0016863863,0.0206401721,0.0008194365,0.0053205231
10,300,0.2,0.8,0.0186205155,0.0154573976,0.0036646312,0.0034979880
10,300,0.4,0.6,0.0349222499,0.0123659181,0.0068067504,0.0059318241
10,300,0.6,0.4,0.0566344736,0.0072740695,0.0107155221,0.0031497645
10,300,0.8,0.2,0.0781358991,0.0043644417,0.0192565003,0.0033333974
10,300,0.98,0.02,0.0931025776,0.0003637035,0.0098472864,0.0008908879
10,400,0.02,0.98,0.0000702661,0.0022731467,0.0002810644,0.0011501314
10,400,0.2,0.8,0.0010539914,0.0016366656,0.0008888036,0.0012333785
10,400,0.4,0.6,0.0018269185,0.0015457398,0.0016267777,0.0009272656
10,400,0.6,0.4,0.0035133048,0.0010911104,0.0012569581,0.0004454440
10,400,0.8,0.2,0.0042862319,0.0002727776,0.0019573869,0.0007274069
10,400,0.98,0.02,0.0043564980,0.0000000000,0.0020653930,0.0000000000
1000,200,0.02,0.98,12.3997877493,158.0285229178,0.9155330341,9.8703314071
1000,200,0.2,0.8,189.0597153777,189.9086781428,169.2974081146,90.4271540804
1000,200,0.4,0.6,507.2576245240,124.2839327599,10.9373692859,13.0522893613
1000,200,0.6,0.4,568.7172709814,56.1206280553,9.8104975807,7.2162360012
1000,200,0.8,0.2,600.4243550775,23.2213756965,6.3683684854,2.0907962146
1000,200,0.98,0.02,618.6074641495,2.2387767334,3.2688501108,0.6925525859
1000,300,0.02,0.98,0.1787569490,2.1821299174,0.0108072820,0.0560250937
1000,300,0.2,0.8,1.8027469669,1.7328652013,0.0843338360,0.1012403098
1000,300,0.4,0.6,3.4455682985,1.2708708636,0.1365842784,0.0388482303
1000,300,0.6,0.4,5.0437003930,0.8078763413,0.1596163629,0.0392816590
1000,300,0.8,0.2,6.4046141462,0.4047110406,0.2445601766,0.0121636928
1000,300,0.98,0.02,7.5989972513,0.0387344200,0.2602235032,0.0081610716
1000,400,0.02,0.98,0.0098372535,0.1953087655,0.0028800529,0.0180446046
1000,400,0.2,0.8,0.0941565691,0.1624845270,0.0065915441,0.0288657771
1000,400,0.4,0.6,0.1854322282,0.1178399255,0.0099510289,0.0126697294
1000,400,0.6,0.4,0.2736864451,0.0791964314,0.0268007824,0.0113187186
1000,400,0.8,0.2,0.3658052974,0.0403710856,0.0377725856,0.0108106231
1000,400,0.98,0.02,0.4518109993,0.0040007382,0.0325203761,0.0015643478
100000,200,0.02,0.98,72.4158172581,797.1759123668,7.5544573406,22.5004439124
100000,200,0.2,0.8,387.4398068341,408.8645342266,14.0210636820,28.1678549761
100000,200,0.4,0.6,509.3689099197,254.6325300208,8.3175021066,12.3446733173
100000,200,0.6,0.4,588.3044371898,162.1861991794,16.1928058443,24.5273425659
100000,200,0.8,0.2,646.3124021983,82.6016961364,7.8913959403,16.3768172316
100000,200,0.98,0.02,697.6592115429,6.5470262332,14.0103521578,1.8921386510
100000,300,0.02,0.98,5.8261836414,131.3805149422,0.3595579795,3.7884345927
100000,300,0.2,0.8,46.9513839562,102.2202252207,1.4103072043,1.7321517792
100000,300,0.4,0.6,92.4002679750,79.0370383890,3.4222680182,1.7160376886
100000,300,0.6,0.4,151.3210598406,56.3534892044,4.2139918603,1.5629536747
100000,300,0.8,0.2,259.5645056145,30.8403269931,13.4348569428,0.8508180672
100000,300,0.98,0.02,377.7768835360,3.0450164092,9.2192249000,0.0547624397
100000,400,0.02,0.98,0.8073574466,18.8754828872,0.0271121530,0.2649528010
100000,400,0.2,0.8,7.5065270685,14.8791091162,0.1406382544,0.5237067974
100000,400,0.4,0.6,13.8147361307,10.8083579849,0.2452789646,0.2356261033
100000,400,0.6,0.4,19.7569290971,7.0634851661,0.2350098306,0.2156384370
100000,400,0.8,0.2,24.8242388984,3.4720952134,0.5095369411,0.0760422992
100000,400,0.98,0.02,29.0053526931,0.3344253442,0.5035585561,0.0338097544
10000000,200,0.02,0.98,42.8200888238,857.7587274172,6.2111314046,20.2988727877
10000000,200,0.2,0.8,230.4823520781,623.7198154942,11.0340615917,16.6354366128
10000000,200,0.4,0.6,401.0977090378,410.2474257601,22.2374785839,25.2735795437
10000000,200,0.6,0.4,508.5581797005,262.7012915887,39.3335422296,46.8561754552
10000000,200,0.8,0.2,601.9891107762,151.0648743552,15.2485711005,21.2838136538
10000000,200,0.98,0.02,685.2207774406,26.8324965628,5.2705293379,11.5946581776
10000000,300,0.02,0.98,23.3832920614,727.3441179758,0.7231132551,1.9699750636
10000000,300,0.2,0.8,190.3279481500,535.5550928731,6.4743740793,10.0017289210
10000000,300,0.4,0.6,340.8612547849,358.1128968526,9.5831952360,12.1173947172
10000000,300,0.6,0.4,463.3687181093,211.2308852246,9.7559509818,10.0357126412
10000000,300,0.8,0.2,559.0539260867,95.0378090186,8.6199196022,8.6373593754
10000000,300,0.98,0.02,625.8169061629,9.9429255688,2.8815220213,0.7662595644
10000000,400,0.02,0.98,16.1288094804,498.9556122970,0.2980334301,1.5001568469
10000000,400,0.2,0.8,147.5940758264,369.1573893180,3.2864320132,2.6294726498
10000000,400,0.4,0.6,275.9521753937,243.9017318017,3.5830055419,3.8707559947
10000000,400,0.6,0.4,383.9806771790,139.6553145280,3.8947775247,1.9664036229
10000000,400,0.8,0.2,466.4536808016,60.2484806320,3.4086079524,2.0129581370
10000000,400,0.98,0.02,524.0923974739,5.4861941258,2.1658285815,0.0782207719
